customerId,city,phone,email
C001,New York,1234567890,alice@example.com
C002,Los Angeles,9876543210,bob@example.com
C003,San Francisco,4567890123,charlie@example.com
C004,Boston,7890123456,david@example.com
C005,Chicago,2345678901,eve@example.com
C006,Miami,3456789012,frank@example.com
C007,Dallas,4567890123,grace@example.com
C008,Seattle,5678901234,hannah@example.com
C009,Denver,6789012345,isaac@example.com
C011,Portland,8901234567,kate@example.com
C012,Atlanta,9012345678,liam@example.com
C013,Orlando,1234567890,mia@example.com
C014,San Diego,2345678901,noah@example.com
C015,Chicago,3456789012,olivia@example.com
C016,Miami,4567890123,paul@example.com
C017,Boston,5678901234,quinn@example.com
C018,New York,6789012345,rachel@example.com
C019,Los Angeles,7890123456,sam@example.com
C020,San Francisco,8901234567,tina@example.com
